id_animal,especie,idade_meses,ecc,tentativas_previas,indice_genetico_reprodutor,estacao,dias_pos_parto,fazenda,sucesso_prenhez
ANM_00027,Bovino,39,3.1,1,88,Chuva,150,Fazenda_A,1
ANM_00028,Ovino,27,3.0,1,70,Seca,27,Fazenda_D,1
ANM_00029,Ovino,78,3.6,0,93,Seca,109,Fazenda_A,1
ANM_00030,Bovino,34,3.5,0,51,Chuva,94,Fazenda_D,1
ANM_00031,Ovino,17,3.1,0,65,Seca,208,Fazenda_B,1
ANM_00032,Bovino,51,3.8,2,56,Chuva,104,Fazenda_C,0
ANM_00033,Bovino,85,2.6,1,68,Chuva,24,Fazenda_D,0
ANM_00034,Caprino,41,3.2,0,92,Chuva,45,Fazenda_D,1
ANM_00035,Caprino,20,2.2,0,82,Chuva,104,Fazenda_A,1
ANM_00036,Caprino,20,3.1,2,58,Chuva,92,Fazenda_C,0
ANM_00037,Bovino,23,2.1,1,86,Chuva,164,Fazenda_D,1
ANM_00038,Bovino,25,2.3,1,66,Seca,120,Fazenda_A,1
ANM_00039,Ovino,44,4.3,0,76,Chuva,85,Fazenda_B,1
ANM_00040,Bovino,47,1.8,2,82,Chuva,198,Fazenda_C,0
ANM_00041,Bovino,54,2.9,1,98,Seca,138,Fazenda_A,1
ANM_00042,Bovino,23,3.7,1,61,Chuva,66,Fazenda_C,1
ANM_00043,Bovino,30,4.7,0,94,Chuva,187,Fazenda_D,0
ANM_00044,Caprino,23,3.2,2,60,Chuva,111,Fazenda_A,0
ANM_00045,Bovino,80,3.3,1,62,Seca,46,Fazenda_B,0
ANM_00046,Ovino,68,3.1,2,80,Chuva,59,Fazenda_B,1
ANM_00047,Bovino,108,3.8,0,62,Seca,20,Fazenda_A,1
ANM_00048,Ovino,7,3.4,0,87,Chuva,193,Fazenda_A,0
ANM_00049,Ovino,18,2.7,0,75,Chuva,158,Fazenda_C,1
ANM_00050,Bovino,116,3.9,0,80,Chuva,186,Fazenda_A,1
ANM_00051,Caprino,10,2.8,0,71,Seca,37,Fazenda_C,1
ANM_00052,Ovino,48,2.0,0,55,Seca,110,Fazenda_D,0
ANM_00053,Caprino,19,2.0,0,69,Seca,66,Fazenda_A,1
ANM_00054,Caprino,10,3.0,1,70,Seca,221,Fazenda_D,0
ANM_00055,Ovino,75,3.2,0,59,Chuva,247,Fazenda_B,1
ANM_00056,Caprino,25,3.8,0,68,Chuva,40,Fazenda_C,1
ANM_00057,Bovino,15,3.5,2,84,Seca,175,Fazenda_C,0
ANM_00058,Bovino,25,3.2,0,75,Seca,148,Fazenda_B,1
ANM_00059,Bovino,94,3.8,0,56,Chuva,33,Fazenda_D,1
ANM_00060,Bovino,87,3.1,0,86,Chuva,39,Fazenda_C,1
ANM_00061,Bovino,111,2.2,0,57,Seca,140,Fazenda_B,0
ANM_00062,Bovino,19,2.0,0,54,Seca,220,Fazenda_B,0
ANM_00063,Caprino,14,4.0,0,93,Seca,192,Fazenda_B,1
ANM_00064,Bovino,64,1.5,3,85,Seca,208,Fazenda_A,0
ANM_00065,Bovino,24,3.0,0,77,Seca,174,Fazenda_D,1
ANM_00066,Ovino,69,5.0,0,99,Seca,141,Fazenda_B,1
ANM_00067,Bovino,70,3.4,1,52,Chuva,203,Fazenda_D,1
ANM_00068,Caprino,18,3.0,0,88,Chuva,71,Fazenda_C,1
ANM_00069,Bovino,86,1.9,0,57,Seca,87,Fazenda_A,1
ANM_00070,Caprino,8,4.2,2,64,Chuva,56,Fazenda_B,1
ANM_00071,Ovino,14,3.9,0,76,Chuva,101,Fazenda_B,1
ANM_00072,Bovino,24,3.6,2,98,Chuva,178,Fazenda_B,1
ANM_00073,Bovino,66,3.1,0,85,Seca,68,Fazenda_C,1
ANM_00074,Caprino,16,3.5,1,65,Chuva,200,Fazenda_A,1
ANM_00075,Ovino,14,3.0,0,75,Chuva,58,Fazenda_D,1
ANM_00076,Ovino,42,2.4,0,94,Seca,157,Fazenda_D,1
ANM_00077,Ovino,82,3.8,1,93,Chuva,156,Fazenda_D,1
ANM_00078,Bovino,27,3.1,3,53,Chuva,111,Fazenda_D,0
ANM_00079,Bovino,67,3.5,1,61,Chuva,239,Fazenda_D,0
ANM_00080,Bovino,98,3.0,1,66,Seca,160,Fazenda_D,1
ANM_00081,Caprino,27,3.4,3,90,Seca,37,Fazenda_D,0
ANM_00082,Ovino,56,3.1,0,93,Chuva,159,Fazenda_A,1
ANM_00083,Bovino,107,3.0,0,75,Seca,91,Fazenda_A,1
ANM_00084,Bovino,52,3.1,0,80,Chuva,234,Fazenda_C,1
ANM_00085,Bovino,33,5.0,1,64,Seca,24,Fazenda_B,0
ANM_00086,Bovino,101,3.7,1,83,Chuva,26,Fazenda_A,1
ANM_00087,Ovino,13,4.9,1,78,Chuva,162,Fazenda_B,1
ANM_00088,Ovino,15,3.1,2,58,Seca,214,Fazenda_C,1
ANM_00089,Caprino,7,2.9,1,63,Chuva,165,Fazenda_A,1
ANM_00090,Bovino,39,2.3,0,85,Seca,57,Fazenda_C,1
ANM_00091,Bovino,51,4.2,0,53,Seca,45,Fazenda_A,0
ANM_00092,Ovino,44,2.5,2,87,Seca,185,Fazenda_A,1
ANM_00093,Ovino,67,4.4,0,86,Seca,78,Fazenda_D,1
ANM_00094,Ovino,50,2.4,0,73,Seca,71,Fazenda_B,1
ANM_00095,Ovino,50,3.7,0,66,Chuva,180,Fazenda_C,1
ANM_00096,Bovino,87,2.0,0,62,Seca,168,Fazenda_D,1
ANM_00097,Ovino,68,2.8,1,69,Seca,164,Fazenda_A,0
ANM_00098,Bovino,19,3.1,0,66,Seca,126,Fazenda_A,1
ANM_00099,Bovino,30,2.7,2,76,Seca,81,Fazenda_C,0
ANM_00100,Bovino,64,3.0,0,82,Chuva,78,Fazenda_B,1
ANM_00101,Bovino,51,3.0,1,70,Seca,21,Fazenda_C,1
ANM_00102,Ovino,30,3.7,1,66,Chuva,211,Fazenda_A,0
ANM_00103,Bovino,64,1.6,1,71,Seca,44,Fazenda_D,0
ANM_00104,Ovino,16,2.7,2,74,Chuva,188,Fazenda_C,0
ANM_00105,Caprino,78,4.0,0,52,Seca,38,Fazenda_D,0
ANM_00106,Bovino,34,3.5,0,76,Chuva,185,Fazenda_B,1
ANM_00107,Bovino,83,4.0,0,76,Chuva,44,Fazenda_B,1
ANM_00108,Ovino,63,3.6,2,95,Seca,186,Fazenda_D,0
ANM_00109,Bovino,52,2.3,3,61,Chuva,23,Fazenda_B,0
ANM_00110,Bovino,101,3.6,0,64,Chuva,22,Fazenda_D,1
ANM_00111,Bovino,46,3.2,1,87,Seca,181,Fazenda_D,1
ANM_00112,Bovino,72,4.7,0,69,Chuva,125,Fazenda_D,0
ANM_00113,Caprino,24,3.7,0,71,Chuva,157,Fazenda_B,1
ANM_00114,Caprino,62,3.5,1,51,Chuva,132,Fazenda_D,1
ANM_00115,Ovino,63,3.6,0,53,Chuva,46,Fazenda_B,1
ANM_00116,Caprino,82,3.4,0,94,Seca,131,Fazenda_D,1
ANM_00117,Caprino,54,3.4,1,62,Chuva,109,Fazenda_D,0
ANM_00118,Bovino,55,2.9,1,81,Chuva,238,Fazenda_B,0
ANM_00119,Caprino,33,3.5,0,71,Seca,148,Fazenda_D,1
ANM_00120,Ovino,80,3.8,1,74,Chuva,63,Fazenda_D,0
ANM_00121,Caprino,58,3.8,0,76,Seca,231,Fazenda_B,1
ANM_00122,Caprino,48,3.8,0,66,Chuva,71,Fazenda_A,1
ANM_00123,Bovino,45,4.2,1,55,Seca,172,Fazenda_C,0
ANM_00124,Bovino,119,3.9,0,92,Seca,221,Fazenda_B,1
ANM_00125,Bovino,39,3.5,0,65,Chuva,84,Fazenda_D,1
ANM_00126,Bovino,38,2.3,0,57,Seca,227,Fazenda_C,1
ANM_00127,Caprino,81,2.3,2,82,Seca,30,Fazenda_C,0
ANM_00128,Caprino,29,2.9,0,59,Seca,87,Fazenda_D,0
ANM_00129,Bovino,111,3.1,0,83,Chuva,246,Fazenda_D,1
ANM_00130,Ovino,63,4.1,0,68,Chuva,140,Fazenda_A,1
ANM_00131,Bovino,65,1.2,0,63,Seca,96,Fazenda_D,0
ANM_00132,Bovino,117,2.4,0,52,Chuva,232,Fazenda_C,0
ANM_00133,Bovino,100,3.0,0,90,Seca,34,Fazenda_D,1
ANM_00134,Bovino,106,2.4,1,72,Chuva,76,Fazenda_C,1
ANM_00135,Caprino,37,2.5,1,89,Seca,93,Fazenda_B,1
ANM_00136,Bovino,77,2.8,1,60,Seca,83,Fazenda_B,0
ANM_00137,Ovino,77,2.4,0,96,Seca,249,Fazenda_C,0
ANM_00138,Ovino,39,2.6,0,55,Chuva,30,Fazenda_B,1
ANM_00139,Bovino,98,4.1,0,83,Chuva,140,Fazenda_A,1
ANM_00140,Caprino,8,3.5,0,50,Chuva,243,Fazenda_C,1
ANM_00141,Caprino,24,3.6,0,84,Seca,244,Fazenda_C,0
ANM_00142,Bovino,60,3.1,1,74,Chuva,144,Fazenda_D,1
ANM_00143,Bovino,46,3.8,0,78,Chuva,167,Fazenda_A,1
ANM_00144,Bovino,114,3.7,0,72,Seca,247,Fazenda_D,0
ANM_00145,Bovino,111,3.5,0,67,Seca,49,Fazenda_A,1
ANM_00146,Bovino,97,2.6,0,63,Seca,29,Fazenda_A,1
ANM_00147,Ovino,41,2.8,2,66,Chuva,73,Fazenda_A,1
ANM_00148,Ovino,57,3.8,0,51,Chuva,205,Fazenda_C,1
ANM_00149,Bovino,31,2.7,2,80,Chuva,226,Fazenda_B,1
ANM_00150,Bovino,101,2.2,0,68,Seca,176,Fazenda_B,1
ANM_00151,Caprino,78,2.7,2,81,Seca,148,Fazenda_D,0
ANM_00152,Bovino,43,4.2,0,77,Chuva,77,Fazenda_D,1
ANM_00153,Bovino,57,2.7,2,90,Seca,168,Fazenda_B,1
ANM_00154,Bovino,66,3.3,0,57,Chuva,162,Fazenda_B,1
ANM_00155,Caprino,16,2.7,0,91,Chuva,214,Fazenda_A,1
ANM_00156,Bovino,100,3.6,0,90,Seca,180,Fazenda_D,1
ANM_00157,Ovino,58,3.5,0,89,Chuva,185,Fazenda_D,1
ANM_00158,Ovino,55,2.1,0,88,Chuva,166,Fazenda_D,1
ANM_00159,Bovino,24,3.3,1,71,Seca,151,Fazenda_D,1
ANM_00160,Ovino,72,1.9,0,73,Chuva,95,Fazenda_B,0
ANM_00161,Bovino,71,2.7,0,87,Seca,108,Fazenda_B,1
ANM_00162,Ovino,42,3.1,1,51,Chuva,117,Fazenda_C,0
ANM_00163,Ovino,39,4.4,0,90,Chuva,100,Fazenda_C,0
ANM_00164,Ovino,53,3.3,0,90,Chuva,205,Fazenda_B,0
ANM_00165,Bovino,26,2.6,2,68,Chuva,89,Fazenda_A,1
ANM_00166,Caprino,46,2.9,3,90,Chuva,31,Fazenda_B,0
ANM_00167,Bovino,102,3.7,2,51,Seca,146,Fazenda_A,1
ANM_00168,Bovino,81,2.6,1,77,Seca,98,Fazenda_D,1
ANM_00169,Bovino,55,3.9,0,81,Seca,164,Fazenda_C,1
ANM_00170,Ovino,25,2.7,3,68,Seca,148,Fazenda_A,0
ANM_00171,Ovino,25,2.5,0,65,Seca,33,Fazenda_D,1
ANM_00172,Bovino,71,2.8,0,79,Seca,138,Fazenda_B,1
ANM_00173,Ovino,29,2.0,1,71,Chuva,21,Fazenda_C,0
ANM_00174,Bovino,67,1.6,0,63,Chuva,23,Fazenda_B,1
ANM_00175,Ovino,71,3.0,0,50,Seca,85,Fazenda_D,0
ANM_00176,Bovino,25,3.1,0,94,Chuva,109,Fazenda_D,1
ANM_00177,Ovino,30,3.3,0,51,Seca,193,Fazenda_B,1
ANM_00178,Bovino,47,3.0,0,71,Chuva,197,Fazenda_D,1
ANM_00179,Caprino,59,4.7,0,95,Chuva,79,Fazenda_D,1
ANM_00180,Bovino,21,3.2,0,82,Seca,199,Fazenda_A,1
ANM_00181,Bovino,31,2.1,0,64,Chuva,116,Fazenda_B,1
ANM_00182,Bovino,70,2.3,0,99,Seca,195,Fazenda_B,0
ANM_00183,Caprino,11,3.1,0,90,Seca,186,Fazenda_C,1
ANM_00184,Caprino,32,2.8,2,71,Seca,146,Fazenda_A,1
ANM_00185,Bovino,43,2.2,0,89,Chuva,217,Fazenda_A,1
ANM_00186,Ovino,60,3.1,2,88,Chuva,79,Fazenda_D,1
ANM_00187,Caprino,19,3.1,0,90,Chuva,177,Fazenda_C,1
ANM_00188,Ovino,35,4.2,0,90,Chuva,233,Fazenda_C,1
ANM_00189,Ovino,9,2.5,0,60,Seca,174,Fazenda_A,1
ANM_00190,Bovino,103,2.8,0,53,Chuva,102,Fazenda_C,1
ANM_00191,Bovino,117,4.2,0,56,Seca,93,Fazenda_A,1
ANM_00192,Caprino,64,3.3,0,70,Seca,74,Fazenda_C,0
ANM_00193,Caprino,82,2.5,0,56,Chuva,217,Fazenda_A,0
ANM_00194,Ovino,8,2.6,0,53,Seca,45,Fazenda_A,1
ANM_00195,Bovino,88,2.3,1,61,Seca,189,Fazenda_D,0
ANM_00196,Bovino,41,3.2,3,76,Chuva,140,Fazenda_D,0
ANM_00197,Ovino,83,3.8,0,66,Chuva,86,Fazenda_C,1
ANM_00198,Caprino,82,4.2,1,69,Chuva,135,Fazenda_D,1
ANM_00199,Caprino,8,2.1,1,80,Seca,86,Fazenda_B,0
ANM_00200,Ovino,13,3.7,0,75,Seca,199,Fazenda_B,0
ANM_00201,Ovino,32,3.2,2,80,Chuva,25,Fazenda_C,0
ANM_00202,Bovino,103,2.9,3,84,Chuva,133,Fazenda_A,1
ANM_00203,Bovino,101,2.8,0,58,Chuva,29,Fazenda_D,1
ANM_00204,Caprino,82,1.8,1,54,Chuva,57,Fazenda_C,0
ANM_00205,Ovino,22,3.5,1,97,Chuva,143,Fazenda_B,1
ANM_00206,Bovino,36,2.2,0,57,Seca,96,Fazenda_A,0
ANM_00207,Bovino,53,2.6,0,70,Chuva,121,Fazenda_D,1
ANM_00208,Ovino,66,3.4,2,65,Chuva,31,Fazenda_A,1
ANM_00209,Bovino,86,1.8,1,65,Chuva,65,Fazenda_A,0
ANM_00210,Bovino,45,2.2,0,67,Seca,68,Fazenda_D,1
ANM_00211,Ovino,21,4.0,0,96,Chuva,110,Fazenda_D,1
ANM_00212,Ovino,19,3.2,2,77,Chuva,143,Fazenda_B,1
ANM_00213,Ovino,11,2.6,0,67,Chuva,91,Fazenda_B,1
ANM_00214,Bovino,88,3.2,1,63,Chuva,210,Fazenda_A,1
ANM_00215,Ovino,80,3.6,0,97,Seca,216,Fazenda_A,1
ANM_00216,Bovino,65,3.9,0,86,Seca,247,Fazenda_B,1
ANM_00217,Bovino,90,2.3,0,89,Seca,121,Fazenda_B,0
ANM_00218,Ovino,47,2.4,0,65,Seca,62,Fazenda_A,1
ANM_00219,Ovino,59,3.5,0,70,Chuva,241,Fazenda_C,1
ANM_00220,Caprino,56,3.5,0,50,Seca,79,Fazenda_C,1
ANM_00221,Ovino,21,2.2,1,60,Chuva,120,Fazenda_C,1
ANM_00222,Ovino,13,2.4,0,60,Seca,176,Fazenda_D,0
ANM_00223,Bovino,53,3.0,1,51,Seca,105,Fazenda_B,0
ANM_00224,Bovino,41,3.1,0,81,Seca,225,Fazenda_C,0
ANM_00225,Bovino,45,3.1,0,68,Chuva,145,Fazenda_C,1
ANM_00226,Bovino,112,2.1,0,54,Seca,221,Fazenda_B,0
ANM_00227,Caprino,21,3.1,0,52,Seca,30,Fazenda_D,1
ANM_00228,Bovino,113,2.6,3,77,Chuva,54,Fazenda_C,0
ANM_00229,Caprino,76,2.3,1,75,Chuva,42,Fazenda_D,1
ANM_00230,Ovino,71,3.1,0,72,Chuva,219,Fazenda_D,1
ANM_00231,Ovino,10,3.0,1,79,Seca,168,Fazenda_A,1
ANM_00232,Ovino,17,3.7,0,57,Seca,184,Fazenda_B,0
ANM_00233,Ovino,32,2.5,0,85,Chuva,47,Fazenda_A,1
ANM_00234,Bovino,74,3.3,0,78,Chuva,135,Fazenda_C,1
ANM_00235,Bovino,50,2.0,1,62,Chuva,114,Fazenda_A,0
ANM_00236,Ovino,29,2.9,0,74,Seca,77,Fazenda_B,1
ANM_00237,Bovino,106,3.4,2,71,Seca,72,Fazenda_D,0
ANM_00238,Bovino,98,3.5,0,95,Seca,47,Fazenda_D,1
ANM_00239,Ovino,46,3.5,0,82,Chuva,61,Fazenda_C,1
ANM_00240,Bovino,90,3.7,3,86,Seca,238,Fazenda_B,0
ANM_00241,Caprino,29,2.8,0,56,Chuva,104,Fazenda_D,1
ANM_00242,Caprino,22,3.4,1,72,Seca,220,Fazenda_C,0
ANM_00243,Caprino,67,4.4,1,55,Chuva,112,Fazenda_B,0
ANM_00244,Bovino,81,2.8,2,64,Seca,143,Fazenda_B,1
ANM_00245,Bovino,117,4.1,0,64,Chuva,208,Fazenda_A,1
ANM_00246,Caprino,37,3.7,0,89,Seca,226,Fazenda_D,0
ANM_00247,Bovino,66,2.9,1,83,Chuva,180,Fazenda_B,0
ANM_00248,Caprino,31,3.0,0,63,Chuva,202,Fazenda_D,1
ANM_00249,Caprino,50,3.2,0,78,Seca,184,Fazenda_D,0
ANM_00250,Caprino,18,3.7,0,65,Chuva,66,Fazenda_B,0
ANM_00251,Bovino,103,3.4,0,78,Chuva,183,Fazenda_D,1
ANM_00252,Bovino,114,2.8,0,72,Chuva,134,Fazenda_A,1
ANM_00253,Caprino,15,1.6,0,59,Chuva,175,Fazenda_C,0
ANM_00254,Bovino,25,3.6,0,96,Chuva,29,Fazenda_C,1
ANM_00255,Bovino,82,1.7,0,53,Seca,42,Fazenda_B,0
ANM_00256,Ovino,60,2.1,0,61,Seca,239,Fazenda_A,1
ANM_00257,Caprino,60,2.8,1,91,Chuva,245,Fazenda_C,1
ANM_00258,Ovino,34,2.3,1,83,Chuva,24,Fazenda_A,0
ANM_00259,Ovino,62,3.3,0,53,Seca,101,Fazenda_B,1
ANM_00260,Bovino,112,2.9,0,69,Chuva,138,Fazenda_A,1
ANM_00261,Ovino,75,3.6,0,77,Seca,25,Fazenda_B,1
ANM_00262,Caprino,83,2.0,0,77,Chuva,144,Fazenda_C,0
ANM_00263,Bovino,116,2.6,1,55,Chuva,189,Fazenda_C,0
ANM_00264,Ovino,64,3.1,1,63,Chuva,66,Fazenda_C,1
ANM_00265,Caprino,81,3.1,2,84,Seca,234,Fazenda_C,0
ANM_00266,Ovino,48,3.6,0,96,Seca,47,Fazenda_D,0
ANM_00267,Ovino,44,2.5,0,50,Seca,32,Fazenda_A,1
ANM_00268,Ovino,74,2.8,1,68,Chuva,44,Fazenda_A,1
ANM_00269,Bovino,66,3.5,0,50,Seca,26,Fazenda_A,1
ANM_00270,Bovino,46,1.6,0,62,Chuva,213,Fazenda_B,0
ANM_00271,Caprino,77,3.4,0,57,Chuva,99,Fazenda_C,1
ANM_00272,Caprino,62,3.6,0,67,Chuva,205,Fazenda_C,0
ANM_00273,Caprino,78,2.2,0,84,Chuva,85,Fazenda_D,1
ANM_00274,Caprino,57,2.9,0,72,Chuva,55,Fazenda_D,1
ANM_00275,Ovino,80,4.1,1,99,Seca,21,Fazenda_C,1
ANM_00276,Ovino,49,3.6,3,75,Chuva,132,Fazenda_A,1
ANM_00277,Ovino,21,3.4,0,90,Chuva,57,Fazenda_A,1
ANM_00278,Ovino,44,3.8,0,87,Seca,221,Fazenda_C,0
ANM_00279,Ovino,21,4.4,0,69,Chuva,33,Fazenda_B,1
ANM_00280,Ovino,11,3.1,2,51,Seca,174,Fazenda_A,0
ANM_00281,Caprino,60,2.8,0,75,Seca,162,Fazenda_C,1
ANM_00282,Bovino,64,3.8,2,85,Chuva,104,Fazenda_C,1
ANM_00283,Bovino,23,3.0,0,74,Chuva,159,Fazenda_D,1
ANM_00284,Bovino,25,2.5,1,79,Chuva,134,Fazenda_D,1
ANM_00285,Ovino,10,2.7,0,67,Chuva,190,Fazenda_C,1
ANM_00286,Bovino,108,3.3,0,56,Chuva,116,Fazenda_B,0
ANM_00287,Bovino,31,2.8,0,76,Chuva,204,Fazenda_C,1
ANM_00288,Ovino,42,2.8,0,60,Chuva,105,Fazenda_A,1
ANM_00289,Bovino,38,2.4,1,86,Chuva,121,Fazenda_B,1
ANM_00290,Ovino,82,4.1,1,57,Seca,195,Fazenda_B,0
ANM_00291,Bovino,111,2.9,0,60,Seca,208,Fazenda_D,1
ANM_00292,Bovino,49,2.6,3,73,Seca,101,Fazenda_C,0
ANM_00293,Caprino,73,2.7,0,79,Chuva,63,Fazenda_D,1
ANM_00294,Bovino,22,3.7,3,79,Chuva,199,Fazenda_A,0
ANM_00295,Bovino,74,3.5,0,64,Chuva,209,Fazenda_D,1
ANM_00296,Ovino,59,2.7,2,84,Seca,149,Fazenda_A,0
ANM_00297,Ovino,24,3.1,0,88,Chuva,112,Fazenda_C,1
ANM_00298,Bovino,56,3.3,0,73,Seca,218,Fazenda_C,1
ANM_00299,Ovino,41,2.6,0,57,Seca,178,Fazenda_D,1
ANM_00300,Bovino,76,2.0,0,92,Chuva,124,Fazenda_D,1
ANM_00301,Bovino,111,3.5,0,91,Chuva,144,Fazenda_D,1
ANM_00302,Ovino,10,2.6,0,69,Chuva,229,Fazenda_A,1
ANM_00303,Ovino,47,3.4,3,90,Seca,92,Fazenda_B,1
ANM_00304,Ovino,51,3.3,3,96,Seca,91,Fazenda_B,0
ANM_00305,Ovino,56,3.1,3,75,Chuva,180,Fazenda_D,0
ANM_00306,Caprino,34,2.8,3,73,Seca,152,Fazenda_D,0
ANM_00307,Ovino,48,2.7,1,71,Seca,97,Fazenda_C,1
ANM_00308,Bovino,93,2.3,3,54,Seca,77,Fazenda_D,0
ANM_00309,Ovino,82,2.7,2,64,Chuva,224,Fazenda_C,0
ANM_00310,Bovino,82,3.5,0,85,Chuva,144,Fazenda_A,1
ANM_00311,Bovino,111,4.1,1,86,Chuva,30,Fazenda_A,1
ANM_00312,Bovino,119,4.0,2,78,Chuva,231,Fazenda_A,0
ANM_00313,Bovino,14,3.2,1,64,Chuva,170,Fazenda_A,1
ANM_00314,Caprino,45,4.1,0,76,Chuva,192,Fazenda_D,1
ANM_00315,Caprino,23,2.9,0,98,Chuva,46,Fazenda_D,1
ANM_00316,Ovino,41,2.2,1,57,Chuva,226,Fazenda_C,0
ANM_00317,Bovino,59,4.4,3,78,Seca,241,Fazenda_D,0
ANM_00318,Bovino,55,3.5,0,68,Chuva,75,Fazenda_C,1
ANM_00319,Bovino,52,2.0,0,80,Seca,145,Fazenda_A,1
ANM_00320,Bovino,103,4.2,0,58,Seca,78,Fazenda_C,1
ANM_00321,Ovino,55,2.6,0,59,Chuva,227,Fazenda_C,1
ANM_00322,Ovino,68,2.7,0,86,Seca,128,Fazenda_D,1
ANM_00323,Ovino,44,3.8,1,59,Chuva,59,Fazenda_A,0
ANM_00324,Bovino,36,4.1,3,82,Chuva,165,Fazenda_B,0
ANM_00325,Caprino,28,2.4,1,74,Seca,198,Fazenda_D,0
ANM_00326,Ovino,10,4.1,0,53,Chuva,80,Fazenda_D,1
ANM_00327,Ovino,55,3.7,2,54,Chuva,141,Fazenda_B,1
ANM_00328,Ovino,65,2.5,0,72,Seca,125,Fazenda_A,0
ANM_00329,Bovino,86,2.9,0,88,Chuva,42,Fazenda_B,1
ANM_00330,Bovino,81,4.2,0,54,Chuva,55,Fazenda_C,1
ANM_00331,Bovino,84,2.0,1,57,Seca,57,Fazenda_B,1
ANM_00332,Ovino,8,4.1,1,66,Seca,91,Fazenda_A,1
ANM_00333,Bovino,62,3.7,2,50,Seca,75,Fazenda_A,1
ANM_00334,Bovino,101,3.5,0,99,Seca,186,Fazenda_B,1
ANM_00335,Bovino,117,3.2,0,61,Seca,240,Fazenda_D,0
ANM_00336,Bovino,108,4.5,0,84,Chuva,95,Fazenda_B,0
ANM_00337,Caprino,37,4.6,1,63,Seca,229,Fazenda_C,0
ANM_00338,Ovino,46,2.7,1,97,Chuva,230,Fazenda_B,1
ANM_00339,Bovino,61,3.5,0,67,Seca,247,Fazenda_B,1
ANM_00340,Bovino,64,4.4,0,59,Chuva,244,Fazenda_B,1
ANM_00341,Bovino,56,2.6,3,64,Chuva,216,Fazenda_C,0
ANM_00342,Bovino,111,3.3,2,91,Chuva,175,Fazenda_B,1
ANM_00343,Bovino,68,3.8,0,82,Chuva,237,Fazenda_D,1
ANM_00344,Bovino,101,1.7,1,68,Seca,126,Fazenda_C,0
ANM_00345,Bovino,62,3.7,1,83,Chuva,168,Fazenda_D,1
ANM_00346,Ovino,63,2.3,0,94,Seca,81,Fazenda_C,1
ANM_00347,Ovino,83,3.2,0,74,Seca,42,Fazenda_A,1
ANM_00348,Bovino,28,3.9,0,65,Seca,168,Fazenda_A,0
ANM_00349,Bovino,40,1.4,0,57,Chuva,222,Fazenda_C,0
ANM_00350,Ovino,74,3.7,1,84,Seca,139,Fazenda_C,1
ANM_00351,Ovino,70,4.5,0,70,Chuva,163,Fazenda_C,0
ANM_00352,Caprino,36,2.7,0,68,Chuva,209,Fazenda_A,0
ANM_00353,Ovino,42,3.5,0,95,Chuva,244,Fazenda_C,1
ANM_00354,Bovino,80,4.0,0,60,Seca,238,Fazenda_A,0
ANM_00355,Bovino,99,2.0,1,93,Seca,84,Fazenda_A,0
ANM_00356,Ovino,55,3.6,0,60,Seca,127,Fazenda_C,0
ANM_00357,Bovino,89,3.8,0,60,Seca,99,Fazenda_C,1
ANM_00358,Ovino,61,3.5,3,71,Chuva,152,Fazenda_C,0
ANM_00359,Caprino,62,3.2,0,70,Chuva,193,Fazenda_A,1
